text,intent,response,entities
I need help with merchant dispute. [07c034],merchant_dispute,Merchant dispute registered. We will investigate.,{}
I need help with open account. [5220d8],open_account,Information for open account: please provide further details.,{}
I need help with block credit card. [4f8889],block_card,Understood. Your card has been blocked for safety.,{}
"Please, I need help with salary credit issue. [6d469d] today.",salary_credit_issue,Understood. Information for salary credit issue: please provide further details. Please confirm.,{}
"Please, Next step for account thanks.",account_open_step,"Sure. To continue, provide your full name, contact number, and a valid ID proof.",{}
What is the eligibility criteria for a personal loan? [ff4ea3],loan_eligibility_check,Provide salary details for eligibility assessment.,{}
settle outstanding credit,credit_card_payment,Payment received. Reference: TXN86592799.,"{""amount"": ""\u20b9107,943""}"
Kindly I want a credit facility .,loan_type_select,"Noted. Which loan would you like to explore: Personal, Home, Gold, or Business?",{}
I need help with loan payment. [108020],loan_payment,Payment received. Reference: TXN88727544.,{}
I want to block my debit card immediately. [3de0da] now.,debit_card_block,Noted. Information for debit card block: please provide further details. Let me know if you need anything else.,{}
I need help with profile update. [4b6cde] .,profile_update,Understood. Information for profile update: please provide further details. Please confirm.,{}
Provide information about receipt request. [629fac],receipt_request,Receipt will be sent to your registered email.,{}
Kindly Provide information about receipt request. [db9b32],receipt_request,Okay. Receipt will be sent to your registered email. Please confirm.,{}
I need help with loan payment. [d5312e],loan_payment,Payment received. Reference: TXN55069439.,{}
Provide information about account freeze request. [f299e1],account_freeze_request,Information for account freeze request: please provide further details.,{}
Can you thank you please thanks.,thanks,Certainly. Information for thanks: please provide further details. Thank you.,{}
Please I need help with debit bank card replacement. [5f6585] now.,debit_card_replacement,Replacement request submitted. Please confirm.,{}
Can you I need help with credit card activation. [6c88d6] thanks.,card_activation,Understood. Information for card activation: please provide further details. Please confirm.,{}
"Please, I need help with pancard update. [85978f] now.",pancard_update,Okay. PAN update request received. Thank you.,{}
I want to report a fraudulent transaction. [96b072],report_fraud,Information for report fraud: please provide further details.,{}
borrowing options please kindly.,loan_info,Understood. Understood. Please provide the requested details to proceed with your loan request. Thank you.,{}
Would you I need help with international remittance. [fda592] thanks.,international_remittance,Certainly. EMI calculated. Please provide amount and tenure to proceed. Let me know if you need anything else.,{}
I need help with standing instruction setup. [7cbb85],standing_instruction_setup,Standing instruction setup completed.,{}
Kindly I need help with fx remittance info. [c2143d] please.,fx_remittance_info,Understood. Foreign exchange remittance information will be shared.,{}
Please Help me with debit or credit bank card options,card_select_type,"Sure, is this regarding a Debit Card or a Credit Card?",{}
Provide information about fx remittance info.,fx_remittance_info,Foreign exchange remittance information will be shared.,{}
Would you loan options please now.,loan_type_select,"Please choose a loan type: Personal, Home, Gold, or Business. Thank you.",{}
Could you I need help with digital banking support. [bd7052] thanks.,digital_banking_support,Certainly. Please update the app or contact support for digital banking assistance. Please confirm.,{}
Can you choose yearly monthly installment type asap.,emi_type_yearly,Okay. Your annual EMI is calculated with 12 months of interest combined. Please confirm.,{}
I need help with track service request. [06a431],track_service_request,Service request status is In Progress.,{}
ATM daily limit please,atm_withdrawal_limit,ATM withdrawal limit details will be shared.,{}
Please pay credit card bill,credit_card_payment,Payment received. Reference: TXN86133330.,"{""amount"": ""\u20b982,753""}"
I need to block my credit card. [ce4213],credit_card_block,Information for credit card block: please provide further details.,{}
Provide information about credit facility payment. [4d4298] now.,loan_payment,Noted. Payment received. Reference: TXN11429994.,{}
Please I need help with upi help. [babc68] please.,upi_help,"Certainly. To transfer Rs. 487,671 to Muruga, please confirm the recipient account number.",{}
What is the ATM withdrawal limit per day? [b0d263],atm_withdrawal_limit,Please follow the instructions provided.,{}
Please loan options please today.,loan_type_select,"Noted. Which loan would you like to explore: Personal, Home, Gold, or Business? Let me know if you need anything else.",{}
Would you quarterly installment asap.,emi_type_quarterly,"Certainly. Your quarterly EMI is 3 times the monthly amount, adjusted for interest. Please confirm.",{}
Can you loan options?,loan_info,Loan details will be shared via your registered contact.,{}
Provide information about upi help. [816bb2],upi_help,Please ensure your UPI ID is linked and active.,{}
I need help with international remittance. [9f3cf1],international_remittance,International remittance instructions have been sent.,{}
"Could you Rs. 2,00,000 borrowing for 2 years at 9% � installment? kindly.",emi_result,"Okay. Estimated EMI for Rs. 3,000,000 over 60 months at 8.5% is Rs. 61,711/month.",{}
"Please, Calculate EMI for principal Rs. 26072 with tenure 48 months at 9.0% p.a. please.",emi_calculator,Okay. EMI calculated. Please provide amount and tenure.,{}
check my balance,check_balance,Please provide your account number to view the balance.,"{""account_number"": ""3070534578"", ""txn_id"": ""TXN61035797"", ""date"": ""2024-11-01""}"
Kindly can i get a borrowing with salary 30000 now.,loan_eligibility_request,"Noted. Your eligibility depends on your income, credit score, and existing loans. Please tell your monthly salary. Let me know if you need anything else.",{}
Start account application kindly.,account_open_start,Noted. I can help you open an account. Please choose Savings or Current. Please confirm.,{}
"Please Calculate EMI for Rs. 3,00,000 at 9.5% for 3 years. kindly.",emi_result,"Okay. Estimated EMI for Rs. 500,000 over 12 months at 8.5% is Rs. 43,680/month. Let me know if you need anything else.",{}
Can you show my current balance? [c5e184],check_balance,Please provide your account number to view the balance.,{}
Could you Provide information about cheque status fetch. [41590d] please.,cheque_status_check,Cheque status will be updated in the app. Please confirm.,{}
Provide information about merchant dispute. [1a90d2],merchant_dispute,Merchant dispute registered. We will investigate.,{}
Would you I need help with out of scope. [24dacc] .,out_of_scope,Information for out of scope: please provide further details. Thank you.,{}
Would you Provide information about branch locator. [1ea927] please.,branch_locator,Certainly. Information for branch locator: please provide further details. Thank you.,{}
Please guide me to close my savings account. [c285e9],account_closure,Information for account closure: please provide further details.,{}
Provide information about track service request. [88b23d],track_service_request,Information for track service request: please provide further details.,{}
I would like to start a loan application. [5f3805],loan_application,Understood. Please provide the requested details to proceed with your loan request.,{}
"Please, i want credit facility documents list asap.",loan_required_documents,"Understood. You must submit ID proof, address proof, and income documents for loan processing. Please confirm.",{}
Please I need help with deposits info. [e8a05e] now.,deposits_info,Noted. Information for deposits info: please provide further details. Please confirm.,{}
Provide information about block card. [a3268c],block_card,Your card has been blocked for safety.,{}
"Please, Provide information about account freeze request. [5e0918] .",account_freeze_request,Noted. Information for account freeze request: please provide further details.,{}
Kindly Locate nearest ATM to my location. [8d8db5],atm_locator,Certainly. Nearest ATMs will be shown based on your location.,{}
Provide information about credit card limit. [c41def],credit_card_limit,Credit limit update request received.,{}
Please my salary is 30000 can i get credit facility thanks.,loan_eligibility_request,Certainly. Please share your monthly income or salary details to check loan eligibility. Thank you.,{}
Please Provide information about track service request. [15ad7b] please.,track_service_request,Certainly. Information for track service request: please provide further details.,{}
Provide information about card status info. [d71300],card_status_info,Please provide the card ending digits to proceed.,{}
Could you I need help with standing instruction setup. [f048f5] asap.,standing_instruction_setup,Certainly. Standing instruction setup completed.,{}
Provide information about track service request. [15c7b4],track_service_request,Information for track service request: please provide further details.,{}
Provide information about language preference. [064357],language_preference,Information for language preference: please provide further details.,{}
Could you Provide information about account access issue. [7ee672] thanks.,account_access_issue,Okay. We have logged your access issue and will assist shortly.,{}
What is the eligibility criteria for a personal loan? [1e48be],loan_eligibility_check,Provide salary details for eligibility assessment.,{}
Provide information about sweep instructions. [ec2740],sweep_instructions,Sweep instructions recorded.,{}
Could you I need help with tax certificate request. [004310] thanks.,tax_certificate_request,Tax certificate request received. Let me know if you need anything else.,{}
I need help with upi help. [1331bc],upi_help,Please ensure your UPI ID is linked and active.,{}
I need help with international remittance. [fe642f] .,international_remittance,Okay. International remittance instructions have been sent.,{}
Please what will be my installment for 500000 12 months,emi_result,"Okay. The EMI for Rs. 4,00,000 over 3 years at 10% is Rs. 12,914 per month. Thank you.",{}
Could you Provide information about recurring deposit info. [94d1a3] .,recurring_deposit_info,Recurring deposit details will be shared.,{}
Please Provide information about thanks. [a2d8cd] kindly.,thanks,Information for thanks: please provide further details. Thank you.,{}
I want to close my account. [efea07],account_closure,Account closure request received and under review.,{}
Provide information about cheque status check. [940c71],cheque_status_check,Information for cheque status check: please provide further details.,{}
Provide information about tax certificate request. [a7cd44],tax_certificate_request,Tax certificate request received.,{}
Would you Provide information about open account. [fd8676] kindly.,open_account,Sure. Account opening request received. Please submit KYC documents. Thank you.,{}
Would you Can I convert my EMI to quarterly payment mode? thanks.,emi_type_quarterly,Sure. Sure! Your EMI will be paid once every 3 months. Thank you.,{}
Kindly Block my credit card. [e93fc0],credit_card_block,Certainly. Information for credit card block: please provide further details. Let me know if you need anything else.,{}
Provide information about account access issue. [de1f56],account_access_issue,We have logged your access issue and will assist shortly.,{}
I need help with communication preferences. [a6e9a0],communication_preferences,Your communication preferences have been updated.,{}
Provide information about loan info. [775185],loan_info,Loan details will be shared via your registered contact.,{}
"Please, I need help with bank card status info. [9f589d] .",card_status_info,Information for card status info: please provide further details. Thank you.,{}
select yearly installment option today.,emi_type_yearly,Noted. Your annual EMI is calculated with 12 months of interest combined. Please confirm.,{}
Where is the closest ATM?,atm_locator,Nearest ATMs will be shown based on your location.,{}
I need help with pancard update. [ed7063],pancard_update,PAN update request received.,{}
Kindly Provide information about credit credit card activation. [ce841e] kindly.,credit_card_activation,Sure. Credit card activation successful. Thank you.,{}
Please loan eligibility show .,loan_eligibility_question,"Noted. I can help. Please provide age, employment type, monthly income, work experience, and CIBIL score (if available). Thank you.",{}
There is an unauthorized debit from my account; report fraud. [83b7ba],report_fraud,Fraud report received. We will block the affected instruments.,{}
Can you alert when account balance below please kindly.,balance_alert_setup,Okay. Information for balance alert setup: please provide further details.,{}
Kindly Provide information about sweep instructions. now.,sweep_instructions,Noted. Sweep instructions recorded. Let me know if you need anything else.,{}
documents for loan,loan_required_documents,"The following documents are required for loan processing: 1. ID Proof (Aadhar, Passport, Voter ID) 2. Address Proof (Electricity Bill, Rental Agreement) 3. Income Proof (Salary Slip, IT Returns) 4. Bank Statement (Last 6 months)",{}
Can you What is the ATM withdrawal limit per day? [bced10] thanks.,atm_withdrawal_limit,Certainly. ATM withdrawal limit details will be shared. Please confirm.,{}
Send me my account statement for last month. [854a0f],statement_request,Information for statement request: please provide further details.,{}
Provide information about sweep instructions. [4a1029] please.,sweep_instructions,Certainly. Information for sweep instructions: please provide further details. Please confirm.,{}
I need help with sweep instructions. [58cc96],sweep_instructions,Information for sweep instructions: please provide further details.,{}
Can you file a complaint?,raise_complaint,Your complaint has been logged. Reference: CMP301508.,{}
Provide information about communication preferences. [4c3c07] please.,communication_preferences,Certainly. Your communication preferences have been updated.,{}
I need help with balance alert setup. [fcc713],balance_alert_setup,Balance alert set for the specified threshold.,{}
Could you borrowing eligibility check please.,loan_eligibility_question,"Okay. I can help. Please provide age, employment type, monthly income, work experience, and CIBIL score (if available). Please confirm.",{}
What is the interest rate for savings account? [9bf86c],interest_rate_info,Current rates vary by product; please specify.,{}
Proceed with account opening asap.,account_open_step,"Please share your full name, phone number, and one ID proof to proceed. Thank you.",{}
Can you Provide information about credit bank card limit. [ae4c8e] asap.,credit_card_limit,Sure. Information for credit card limit: please provide further details.,{}
Provide information about raise complaint. [228c0d],raise_complaint,Your complaint has been logged. Reference: CMP062684.,{}
Provide information about nominee update. [e1e180],nominee_update,Information for nominee update: please provide further details.,{}
Provide information about communication preferences. [dcb0e3],communication_preferences,Your communication preferences have been updated.,{}
What is my account balance? [1cf18f],check_balance,Please provide your account number to view the balance.,{}
Provide information about fx remittance info. [f5cce3],fx_remittance_info,Foreign exchange remittance information will be shared.,{}
pay EMI every year,emi_type_yearly,You have selected a yearly EMI payment plan.,{}
I need the statement for account 7226038325 for October 2025.,statement_request,Statement will be delivered to your registered email.,"{""account"": ""7226038325""}"
Can you Provide information about fx remittance info. [ba6486] kindly.,fx_remittance_info,Certainly. EMI calculated. Please provide amount and tenure to proceed.,{}
see you,goodbye,Goodbye. Have a good day.,{}
Please Start account application please.,account_open_start,Certainly. I can help you open an account. Please choose Savings or Current. Thank you.,{}
Provide information about thanks. [f0671d],thanks,You are welcome.,{}
Could you Provide information about international remittance. [b87eda] please.,international_remittance,Understood. EMI calculated. Please provide amount and tenure to proceed.,{}
Please Provide information about interest calculator. [945777] thanks.,interest_calculator,Noted. Calculating interest; please provide amount and tenure. Please confirm.,{}
Kindly Provide information about cheque status view. [f7e466] asap.,cheque_status_check,Sure. Information for cheque status check: please provide further details. Thank you.,{}
I want to transfer Rs. 408364 to Priya.,transfer_money,"To transfer Rs. 408,364 to Priya, please confirm the recipient account number.","{""amount"": ""408364"", ""name"": ""Priya""}"
Can you card activation process?,card_activation,Card activation instructions have been sent.,"{""card_last4"": ""8212"", ""card_type"": ""credit""}"
Would you What is the interest rate for savings account? [23fcf6] .,interest_rate_info,Sure. Current rates vary by product; please specify.,{}
I need help with sweep instructions. [b8b71d],sweep_instructions,Sweep instructions recorded.,{}
"Please, How do I out of scope .",out_of_scope,Certainly. Information for out of scope: please provide further details.,{}
Could you Provide information about upi help. [c4d767] today.,upi_help,"Noted. To transfer Rs. 209,120 to Krishna, please confirm the recipient account number. Please confirm.",{}
Provide information about track service request. [ce498c],track_service_request,Service request status is In Progress.,{}
I need help with profile update. [2e4674],profile_update,Your profile update has been recorded.,{}
Can you I want to block my debit card immediately. [f1a65c] thanks.,debit_card_block,Understood. Information for debit card block: please provide further details. Please confirm.,{}
Kindly Provide information about block credit card. [74a340] now.,block_card,Information for block card: please provide further details. Please confirm.,{}
Would you Provide information about recurring deposit info. [9ccb76] asap.,recurring_deposit_info,Certainly. Information for recurring deposit info: please provide further details. Thank you.,{}
Provide information about debit card replacement. [cd777a],debit_card_replacement,Replacement request submitted.,{}
Can you settle outstanding credit?,credit_card_payment,Payment received. Reference: TXN49288409.,"{""amount"": ""\u20b946,792""}"
Would you Eligibility for personal credit facility,loan_eligibility_question,"Certainly. To check eligibility, please share your age, employment type, monthly income, total experience, and (if known) CIBIL score. Please confirm.",{}
file a complaint please,raise_complaint,Your complaint has been logged. Reference: CMP852479.,{}
Could you Provide information about credit card activation. [0c607c] please.,card_activation,Okay. Card activation instructions have been sent. Thank you.,{}
Would you Send me my account account statement for last month. [27db61] now.,statement_request,Understood. Statement will be delivered to your registered email. Please confirm.,{}
Can you show my current balance? [9dd4a7],check_balance,Please provide your account number to view the balance.,{}
I need help with card status info. [30350e],card_status_info,Information for card status info: please provide further details.,{}
Please Show me ATMs near Pondicherry. [462cff] asap.,atm_locator,Okay. Nearest ATMs will be shown based on your location. Thank you.,{}
Can you credit limit increase?,credit_card_limit,Credit limit update request received.,"{""card_last4"": ""0877"", ""card_type"": ""credit""}"
Would you Provide information about money in account alert setup. [fad0d3] now.,balance_alert_setup,Balance alert set for the specified threshold. Let me know if you need anything else.,{}
Provide information about recurring deposit info. [81e7cf],recurring_deposit_info,Recurring deposit details will be shared.,{}
Can you What is the ATM withdrawal limit per day? [f4f28f] now.,atm_withdrawal_limit,Understood. Please follow the instructions provided. Thank you.,{}
I need help with account freeze request. [5df341],account_freeze_request,Account freeze request processed.,{}
Kindly I need help with debit credit card replacement2. [13ed94] thanks.,debit_card_replacement2,Understood. Replacement request submitted. Please confirm.,{}
Would you I need help with communication preferences. [9ad4ec] thanks. please.,communication_preferences,Okay. Noted. Information for communication preferences: please provide further details. Let me know if you need anything else.,{}
Please credit card payment online,credit_card_payment,Payment received. Reference: TXN60181170.,"{""amount"": ""\u20b956,911""}"
Kindly 500000 24 months,emi_result,"Okay. Estimated EMI for Rs. 2,000,000 over 60 months at 8.5% is Rs. 40,321/month.",{}
Please I need help with block credit card. [2b9933] please.,block_card,Sure. Information for block card: please provide further details. Please confirm.,{}
Can you I need help with account access issue. [4e55b1] today.,account_access_issue,Certainly. We have logged your access issue and will assist shortly. Let me know if you need anything else.,{}
"Please, I need help with tax certificate request. [250f78] .",tax_certificate_request,Understood. Information for tax certificate request: please provide further details. Please confirm.,{}
Kindly Eligibility for personal borrowing .,loan_eligibility_question,"Noted. I can help. Please provide age, employment type, monthly income, work experience, and CIBIL score (if available). Please confirm.",{}
raise a complaint,raise_complaint,Your complaint has been logged. Reference: CMP250763.,{}
Please what are all the borrowing documents now.,loan_required_documents,"Sure. You must provide ID proof, Address proof, Income proof, and 6 months bank statement. Please confirm.",{}
Kindly quarterly installment details,emi_type_quarterly,Noted. The quarterly repayment schedule will be shared via email or statement.,{}
Please I need help with debit debit card replacement2. [eeb09c] today.,debit_card_replacement2,Information for debit card replacement2: please provide further details. Please confirm.,{}
I need help with fx remittance info. [2d0b8e],fx_remittance_info,EMI calculated. Please provide amount and tenure to proceed.,{}
I need help with standing instruction setup. [1331c1],standing_instruction_setup,Standing instruction setup completed.,{}
nearest atm,atm_locator,Nearest ATMs will be shown based on your location.,"{""city"": ""Bengaluru""}"
Can you Am I eligible for a loan? now.,loan_eligibility_question,"Sure. To check eligibility, please share your age, employment type, monthly income, total experience, and (if known) CIBIL score.",{}
I need to block my credit card. [57a88e],credit_card_block,Information for credit card block: please provide further details.,{}
Calculate EMI for principal Rs. 234794 with tenure 24 months at 9.0% p.a.,emi_calculator,EMI calculated. Please provide amount and tenure to proceed.,"{""amount"": ""234794"", ""tenure"": 24}"
Can you I need help with open account. [bac3d5] today.,open_account,Certainly. Information for open account: please provide further details.,{}
Block my debit debit card. [40d0f2] today.,debit_card_block,Understood. Information for debit card block: please provide further details. Please confirm.,{}
Provide information about international remittance. [99e00d],international_remittance,International remittance instructions have been sent.,{}
Am I eligible for a borrowing? today.,loan_eligibility_question,"Sure. I can help. Please provide age, employment type, monthly income, work experience, and CIBIL score (if available). Thank you.",{}
Could you Provide information about branch locator. [90cb5f] today.,branch_locator,Noted. Please provide your city or PIN code.,{}
"Please, I want to continue with my bank card service asap.",ask_card_last4,"Noted. To continue, share the last 4 digits of your card number. Thank you.",{}
Verify my bank card now today.,ask_card_last4,"Noted. To continue, share the last 4 digits of your card number. Please confirm.",{}
"Please, I want to close my account. [1b1068] today.",account_closure,Understood. Account closure request received and under review. Let me know if you need anything else.,{}
"Please, I need help with account freeze request. [e3a0a8] .",account_freeze_request,Certainly. Account freeze request processed. Thank you.,{}
Provide information about account access issue. [2bf987],account_access_issue,Information for account access issue: please provide further details.,{}
"Please, I need help with transaction inquiry. [cfa47b] please.",transaction_inquiry,Noted. Information for transaction inquiry: please provide further details. Thank you.,{}
Provide information about interest calculator. [2b2972],interest_calculator,EMI calculated. Please provide amount and tenure to proceed.,{}
Can you When will my next quarterly EMI be deducted? asap.,emi_type_quarterly,"Certainly. Yes, you can select quarterly EMI payment mode. Let me know if you need anything else.",{}
Resend the OTP to my registered mobile. [de3315],otp_resend,OTP has been resent to your registered mobile number.,{}
Could you I need help with communication preferences. [a142dc] .,communication_preferences,Certainly. Information for communication preferences: please provide further details. Let me know if you need anything else.,{}
Please I need help with merchant dispute. [ccd133] now.,merchant_dispute,Noted. Merchant dispute registered. We will investigate. Let me know if you need anything else.,{}
I need help with greet. [e1b9e3],greet,Information for greet: please provide further details.,{}
Kindly I need help with block debit card. [2bb49a] asap.,block_card,Information for block card: please provide further details.,{}
I want to know my monthly repayment. thanks.,emi_type_monthly,Sure. The monthly repayment will be auto-debited each month. Thank you.,{}
Kindly I need help with credit card activation. [e45969],credit_card_activation,Credit card activation successful. Thank you.,{}
Provide information about pancard update. [b748ef],pancard_update,PAN update request received.,{}
Can you I need help with track service request. [19b661] today.,track_service_request,Information for track service request: please provide further details.,{}
Can you bank card problem kindly.,card_select_type,"Okay. Sure, is this regarding a Debit Card or a Credit Card? Thank you.",{}
I need help with profile update. [cca123],profile_update,Your profile update has been recorded.,{}
Can you Provide information about receipt request. [ec1617] today.,receipt_request,Information for receipt request: please provide further details. Please confirm.,{}
"Please, I need the bank statement for account 1972234604 for October 2025..",statement_request,Certainly. Information for statement request: please provide further details. Let me know if you need anything else.,{}
Block my credit card. [8183f4],credit_card_block,Information for credit card block: please provide further details.,{}
Could you form 16 request please asap.,tax_certificate_request,Okay. Tax certificate request received. Let me know if you need anything else.,{}
"Please, I need help with upi help. [d11907] asap.",upi_help,"Sure. To transfer Rs. 300,888 to Vani, please confirm the recipient account number.",{}
Please Provide information about track service request. [f76852],track_service_request,Sure. Information for track service request: please provide further details.,{}
Provide information about greet. [fd38c8],greet,Information for greet: please provide further details.,{}
I need help with deposits info. [ae5515],deposits_info,Information for deposits info: please provide further details.,{}
Kindly Provide information about fixed deposit renewal. [bc6fa7],fixed_deposit_renewal,Understood. FD renewal processed.,{}
Could you Proceed with account opening,account_open_step,"Okay. Please share your full name, phone number, and one ID proof to proceed. Please confirm.",{}
I need to block my credit card. [0e3ed7],credit_card_block,Credit card has been blocked.,{}
Provide information about debit card replacement. [35c752],debit_card_replacement,Information for debit card replacement: please provide further details.,{}
I need to block my credit card. [9a9335],credit_card_block,Information for credit card block: please provide further details.,{}
I need help with account access issue. [f9bee6],account_access_issue,Information for account access issue: please provide further details.,{}
I need help with out of scope. [201984],out_of_scope,Information for out of scope: please provide further details.,{}
I need help with credit card activation. [bb8d5c],credit_card_activation,Information for credit card activation: please provide further details.,{}
"Please, I need help with cheque status see. [442773]",cheque_status_check,Certainly. Information for cheque status check: please provide further details.,{}
Calculate EMI for principal Rs. 402323 with tenure 12 months at 8.5% p.a.,emi_calculator,EMI calculated. Please provide amount and tenure to proceed.,"{""amount"": ""402323"", ""tenure"": 12}"
Check loan eligibility for income Rs. 262744.,loan_eligibility_check,Understood. Please provide the requested details to proceed with your loan request.,"{""amount"": ""262744""}"
Resend the OTP to my registered mobile. [410d00],otp_resend,Information for otp resend: please provide further details.,{}
Please Provide information about interest calculator. [0ec8e7] kindly.,interest_calculator,Noted. Calculating interest; please provide amount and tenure. Let me know if you need anything else.,{}
Provide information about raise complaint. [d4a08d],raise_complaint,Information for raise complaint: please provide further details.,{}
I need help with balance alert setup. [da5d8d],balance_alert_setup,Information for balance alert setup: please provide further details.,{}
bank card support .,card_select_type,"Certainly. Sure, is this regarding a Debit Card or a Credit Card? Please confirm.",{}
I want to block my debit card immediately. [2f5ec9],debit_card_block,Your debit card has been blocked.,{}
Tell me the daily cash withdrawal limit. [4203b5],atm_withdrawal_limit,ATM withdrawal limit details will be shared.,{}
I want to open an account thanks.,account_open_start,Sure. I can help you open an account. Please choose Savings or Current. Let me know if you need anything else.,{}
Can you bank card support thanks.,card_select_type,"Understood. Sure, is this regarding a Debit Card or a Credit Card? Thank you.",{}
Can you Can I choose quarterly monthly installment mode? now.,emi_type_quarterly,Okay. You have selected a quarterly EMI payment plan. Please confirm.,{}
"Please, 800000 36 months",emi_result,"Okay. Estimated EMI for Rs. 4,000,000 over 48 months at 8.5% is Rs. 98,593/month. Let me know if you need anything else.",{}
replace my debit bank card please thanks.,debit_card_replacement,Sure. Information for debit card replacement: please provide further details.,{}
Provide information about tax certificate request. [c10434],tax_certificate_request,Information for tax certificate request: please provide further details.,{}
Can you Provide information about loan info. [ecbf6c] kindly.,loan_info,Understood. Please provide the requested details to proceed with your loan request.,{}
Please Provide information about communication preferences. [8fc76d] please.,communication_preferences,Understood. Your communication preferences have been updated. Please confirm.,{}
What is my account balance? [9dd6ce],check_balance,Please provide your account number to view the balance.,{}
Kindly monthly installment plan .,emi_type_monthly,Your monthly EMI amount is displayed above. Let me know if you need anything else.,{}
Provide information about digital banking support. [560f43],digital_banking_support,Please update the app or contact support for digital banking assistance.,{}
Would you calculate my installment .,emi_result,"Understood. EMI for Rs. 10,00,000 over 4 years at 8.5% is Rs. 24,540/month. Please confirm.",{}
I need help with loan payment. [3691f7],loan_payment,Understood. Please provide the requested details to proceed with your loan request.,{}
Provide information about card status info. [03eca0],card_status_info,Please provide the card ending digits to proceed.,{}
I need help with recurring deposit info. [658724],recurring_deposit_info,Information for recurring deposit info: please provide further details.,{}
Provide information about fx remittance info. [0fd0ef],fx_remittance_info,EMI calculated. Please provide amount and tenure to proceed.,{}
What is the eligibility criteria for a personal loan? [33595b],loan_eligibility_check,Provide salary details for eligibility assessment.,{}
Can you documents needed to apply for a credit facility now.,loan_required_documents,"The following documents are required for loan processing: 1. ID Proof (Aadhar, Passport, Voter ID) 2. Address Proof (Electricity Bill, Rental Agreement) 3. Income Proof (Salary Slip, IT Returns) 4. Bank Statement (Last 6 months). Let me know if you need anything else.",{}
I need help with profile update. [ae60bb],profile_update,Information for profile update: please provide further details.,{}
Would you I need help with open account. [61cb6d] please.,open_account,Okay. Account opening request received. Please submit KYC documents. Let me know if you need anything else.,{}
I need help with cheque status check. [445f99],cheque_status_check,Information for cheque status check: please provide further details.,{}
I need help with credit card limit. [29ab2a],credit_card_limit,Information for credit card limit: please provide further details.,{}
How do I transfer money,transfer_money,Transfer initiated. Reference: TXN57906477.,"{""account_number"": ""4260880501"", ""txn_id"": ""TXN71644556"", ""date"": ""2025-05-20"", ""amount"": ""\u20b9145,970""}"
I want to transfer Rs. 335775 to Ramesh.,transfer_money,"To transfer Rs. 335,775 to Ramesh, please confirm the recipient account number.","{""amount"": ""335775"", ""name"": ""Ramesh""}"
I need help with credit card payment. [bcaf3b],credit_card_payment,Information for credit card payment: please provide further details.,{}
Send 163 to Vani (account 5006254928).,transfer_money,"To transfer Rs. 392,008 to Arjun, please confirm the recipient account number.","{""account"": ""5006254928""}"
Would you I need help with pancard update. [315998] kindly.,pancard_update,Okay. Information for pancard update: please provide further details. Please confirm.,{}
I need help with credit card payment. [3198e5],credit_card_payment,Information for credit card payment: please provide further details.,{}
Provide information about standing instruction setup. [38f518],standing_instruction_setup,Information for standing instruction setup: please provide further details.,{}
How do I credit card payment,credit_card_payment,Payment received. Reference: TXN77195911.,"{""amount"": ""\u20b934,167""}"
Provide information about nominee update. [7c61c6],nominee_update,Information for nominee update: please provide further details.,{}
I need help with fixed deposit renewal. [0052dc],fixed_deposit_renewal,FD renewal processed.,{}
"Please, Provide information about account access issue. [be67e5]",account_access_issue,Noted. We have logged your access issue and will assist shortly.,{}
"Please, I want to apply for a personal borrowing. [008bd2] now.",loan_application,Noted. Please provide required documents to proceed.,{}
Would you monthly EMI .,emi_type_monthly,Okay. The EMI will be paid monthly as per the schedule.,{}
I need help with salary credit issue. [a37261] .,salary_credit_issue,Certainly. Salary credit issue logged. Please provide employer details. Please confirm.,{}
"Please, Please guide me to close my savings account. [ff4577] asap.",account_closure,Noted. Information for account closure: please provide further details.,{}
Provide information about out of scope. [4e53c0] please.,out_of_scope,"Certainly. I am sorry, I cannot assist with that. Thank you.",{}
Provide information about debit card replacement. [fe168a],debit_card_replacement,Information for debit card replacement: please provide further details.,{}
Please Resend the OTP to my registered mobile. [822e8b] thanks.,otp_resend,OTP has been resent to your registered mobile number. Thank you.,{}
I need help with upi help. [52d08d],upi_help,"To transfer Rs. 373,321 to Krishna, please confirm the recipient account number.",{}
Eligibility for personal borrowing asap.,loan_eligibility_question,"To check eligibility, please share your age, employment type, monthly income, total experience, and (if known) CIBIL score.",{}
Kindly Provide information about communication preferences. [8defa0] .,communication_preferences,Information for communication preferences: please provide further details. Thank you.,{}
I want yearly EMI,emi_type_yearly,You have selected a yearly EMI payment plan.,{}
Provide information about greet. [453419],greet,Information for greet: please provide further details.,{}
Provide information about track service request. [5ec47a],track_service_request,Service request status is In Progress.,{}
Can you I need help with standing instruction setup. [5292bb] now.,standing_instruction_setup,Okay. Information for standing instruction setup: please provide further details.,{}
I need help with account freeze request. [41b4da],account_freeze_request,Account freeze request processed.,{}
Provide information about fixed deposit renewal. [2ab386],fixed_deposit_renewal,Information for fixed deposit renewal: please provide further details.,{}
Provide information about open account. [2ab80a],open_account,Information for open account: please provide further details.,{}
Provide information about language preference. [0da2b5] asap.,language_preference,Language preference updated. Thank you.,{}
I need help with profile update. [72c25b],profile_update,Information for profile update: please provide further details.,{}
Kindly Provide information about pancard update. [d8f3b5] today.,pancard_update,Noted. PAN update request received. Please confirm.,{}
I need help with goodbye. [8e0630],goodbye,Goodbye. Have a good day.,{}
